word_id	word	parent_id	tag	dependency	lemmatized	sentence_id	pol
1	СМИ	5	NOUN	dobj	сми	1	0
2	Ирана:	5	PROPN	nsubj	иран	1	0
3	Финляндия	2	PROPN	name	финляндия	1	0
4	не	5	PART	neg	не	1	0
5	хочет	0	VERB	ROOT	хотеть	1	0
6	вступать	5	VERB	xcomp	вступать	1	0
7	в	8	ADP	case	в	1	0
8	НАТО	6	PROPN	nmod	нато	1	0
9	из	10	ADP	case	из	1	0
10	страха	6	NOUN	nmod	страх	1	-1
11	перед	12	ADP	case	перед	1	0
12	Россией?	10	PROPN	nmod	россия	1	0
1	inosmi.ru	0	PUNCT	ROOT	inosmi	2	0
1	5-го,	2	NUM	nummod	5	3	0
2	2016	0	ADJ	ROOT	2016	3	0
1	Зачем	3	SCONJ	mark	зачем	4	0
2	американцам	3	NOUN	iobj	американец	4	0
3	понадобилось	15	VERB	advcl	понадобиться	4	0
4	перебросить	3	VERB	xcomp	перебрасывать	4	0
5	250	6	NUM	nummod	250	4	0
6	своих	7	PRON	det	свой	4	0
7	военных	4	ADJ	dobj	военный	4	0
8	на	9	ADP	case	на	4	0
9	северо-восток	4	NOUN	nmod	северо-восток	4	0
10	Сирии,	9	PROPN	nmod	сирия	4	0
11	к	12	ADP	case	к	4	0
12	окрестностям	4	NOUN	nmod	окрестность	4	0
13	города	12	NOUN	nmod	город	4	0
14	Румийлан,	13	PROPN	appos	румийлан	4	0
15	разбирался	0	VERB	ROOT	разбираться	4	0
16	обозреватель	15	NOUN	nsubj	обозреватель	4	0
17	Khorasan	16	ADJ	amod	Khorasan	4	0
18	(	15	PUNCT	punct	"(
"	4	0
1	30.04)	2	NUM	nummod	30.04	5	0
2	Алиреза	0	PROPN	ROOT	алиреза	5	0
3	Резахах	2	PROPN	name	резах	5	0
4	(Alireza	2	PROPN	name	Alireza	5	0
5	Rezakhah).	4	PROPN	name	Rezakhah	5	0
1	Согласно	2	ADP	case	согласно	6	0
2	заявлениям	7	NOUN	nmod	заявление	6	0
3	из	4	ADP	case	из	6	0
4	Пентагона,	2	PROPN	nmod	пентагон	6	0
5	цель	7	NOUN	nsubj	цель	6	0
6	США	5	PROPN	nmod	сша	6	0
7	—	0	PUNCT	ROOT	"—
"	6	0
8	способствовать	7	VERB	xcomp	способствовать	6	0
9	освобождению	8	NOUN	iobj	освобождение	6	0
10	от	11	ADP	case	от	6	0
11	боевиков	9	NOUN	nmod	боевик	6	0
12	ИГИЛ	11	PROPN	appos	игил	6	0
13	стратегически	14	ADV	advmod	стратегически	6	0
14	важного	15	ADJ	amod	важный	6	1
15	города	11	NOUN	nmod	город	6	0
16	Ракка.	15	PROPN	appos	ракка	6	0
1	Однако	7	CONJ	cc:preconj	однако	7	0
2	в	3	ADP	case	в	7	0
3	Дамаске	7	PROPN	nmod	дамаск	7	0
