word_id	word	parent_id	tag	dependency	lemmatized	sentence_id	pol
1	Кристиан	4	PROPN	nsubj	кристиан	1	0
2	Йенсен:	1	PROPN	name	йенсен	1	0
3	ЕС	1	PROPN	name	ес	1	0
4	надо	0	VERB	ROOT	надо	1	0
5	провести	4	VERB	xcomp	проводить	1	0
6	реформы	5	NOUN	dobj	реформа	1	0
7	и	6	CONJ	cc	и	1	0
8	уступить	6	VERB	conj	уступать	1	0
9	власть	8	NOUN	dobj	власть	1	0
1	inosmi.ruПосмотреть	0	VERB	ROOT	inosmi	2	0
2	оригиналапрель	1	NOUN	nsubj	оригиналапрель	2	0
3	23-го,	4	NUM	nummod	23	2	0
4	2016	2	NUM	nummod	2016	2	0
1	Чтобы	2	SCONJ	mark	чтобы	3	0
2	сохранить	6	VERB	advcl	сохранять	3	0
3	европейское	4	ADJ	amod	европейский	3	0
4	сотрудничество	2	NOUN	dobj	сотрудничество	3	1
5	и	4	CONJ	cc	и	3	0
6	обеспечить	0	VERB	ROOT	обеспечивать	3	0
7	ему	6	PRON	iobj	он	3	0
8	поддержку	10	NOUN	dobj	поддержка	3	1
9	народа,	10	ADV	advmod	народ	3	0
10	надо	6	VERB	ccomp	надо	3	0
11	в	13	ADP	case	в	3	0
12	некотором	13	ADJ	amod	некоторый	3	0
13	роде	10	NOUN	nmod	род	3	0
14	«обрезать»	15	DET	det	обрезать	3	0
15	ЕС.	10	PROPN	nsubj	ес	3	0
1	«Каждый	2	ADJ	amod	каждый	4	0
2	садовник	3	NOUN	nsubj	садовник	4	0
3	подтвердит,	0	VERB	ROOT	подтвердить	4	0
4	что	6	PRON	dobj	что	4	0
5	кусты	6	NOUN	nsubj	куст	4	0
6	надо	3	VERB	ccomp	надо	4	0
7	обрезать,	6	VERB	xcomp	обрезать	4	0
8	чтобы	11	SCONJ	mark	чтобы	4	0
9	они	11	PRON	nsubj	они	4	0
10	хорошо	11	ADV	advmod	хорошо	4	0
11	росли.	7	PUNCT	ccomp	расти	4	0
1	Так	0	ADV	ROOT	так	5	0
2	и	1	CONJ	cc	и	5	0
3	с	4	ADP	case	с	5	0
4	ЕС.	1	PROPN	nmod	ес	5	0
1	ЕС	16	X	dobj	ес	6	0
2	чрезмерно	3	ADV	advmod	чрезмерно	6	0
3	разросся	1	VERB	acl	разрастаться	6	0
4	в	6	ADP	case	в	6	0
5	некоторых	6	ADJ	amod	некоторые	6	0
6	областях	3	NOUN	nmod	область	6	0
7	и	3	CONJ	cc	и	6	0
8	слишком	9	ADV	advmod	слишком	6	0
9	удалился	3	VERB	conj	удаляться	6	0
10	от	12	ADP	case	от	6	0
11	основополагающей	12	ADJ	amod	основополагающий	6	0
12	идеи	9	NOUN	nmod	идея	6	0
13	Европейского	14	ADJ	amod	европейский	6	0
14	Союза»,	12	NOUN	nmod	союз	6	0
15	—	14	PUNCT	punct	"—
"	6	0
16	считает	0	VERB	ROOT	считать	6	0
17	Кристиан	16	PROPN	nsubj	кристиан	6	0
18	Йенсен	17	PROPN	name	йенсен	6	0
19	(Kristian	20	ADJ	amod	Kristian	6	0
20	Jensen,	17	PROPN	name	Jensen	6	0
21	Либеральная	22	ADJ	amod	либеральный	6	0
22	партия	17	NOUN	appos	партия	6	0
23	Венстре,	22	PROPN	appos	венстр	6	0
24	Venstre).	23	PROPN	name	Venstre	6	0
1	Глава	0	NOUN	ROOT	глава	7	0
2	МИД	1	PROPN	nmod	мид	7	0
3	Дании	2	PROPN	nmod	дания	7	0
4	—	1	PUNCT	punct	"—
"	7	0
5	убежденный	6	ADJ	amod	убежденный	7	1
6	сторонник	1	NOUN	appos	сторонник	7	1
7	Евросоюза.	6	PROPN	appos	евросоюз	7	0
1	Однако	3	CONJ	cc:preconj	однако	8	0
2	он	3	PRON	nsubj	он	8	0
3	признает,	0	VERB	ROOT	признавать	8	1
4	что	9	SCONJ	mark	что	8	0
5	в	7	ADP	case	в	8	0
6	некоторых	7	ADJ	amod	некоторые	8	0
7	областях	9	NOUN	nmod	область	8	0
8	ЕС	9	PRON	nsubj	ес	8	0
9	сошел	3	VERB	ccomp	сходить	8	1
10	с	11	ADP	case	с	8	0
11	рельс,	9	CONJ	nmod	рельс	8	0
12	так	18	ADV	advmod	так	8	0
13	что	18	SCONJ	mark	что	8	0
14	в	15	ADP	case	в	8	0
15	худшем	18	NOUN	nmod	плохой	8	-1
16	случае	15	NOUN	nmod	случай	8	0
17	ему	18	PRON	iobj	он	8	0
18	угрожает	9	VERB	ccomp	угрожать	8	0
19	крах.	3	PUNCT	punct	крах	8	-1
1	Поэтому	4	SCONJ	mark	поэтому	9	0
2	министр	4	NOUN	nsubj	министр	9	0
3	готов	2	NOUN	nmod	готовый	9	1
4	заложить	0	VERB	ROOT	закладывать	9	0
5	основу	4	NOUN	dobj	основа	9	0
6	новой	8	ADJ	amod	новый	9	0
7	датской	8	ADJ	amod	датский	9	0
8	политики	5	NOUN	nmod	политика	9	0
9	в	10	ADP	case	в	9	0
10	отношении	4	NOUN	nmod	отношение	9	0
11	ЕС	10	PROPN	nmod	ес	9	0
12	и	4	CONJ	cc	и	9	0
13	проводить	4	VERB	conj	проводить	9	0
14	последовательную	15	ADJ	amod	последовательный	9	1
15	работу,	13	NOUN	dobj	работа	9	0
16	чтобы	17	SCONJ	mark	чтобы	9	0
17	реформировать	13	VERB	xcomp	реформировать	9	0
18	европейское	19	ADJ	amod	европейский	9	0
19	сотрудничество	17	NOUN	dobj	сотрудничество	9	1
20	и	17	CONJ	cc	и	9	0
21	вернуть	17	VERB	conj	вернуть	9	0
22	ЕС	21	PROPN	dobj	ес	9	0
23	на	25	ADP	case	на	9	0
24	должный	25	ADJ	amod	должный	9	0
25	путь.	21	NOUN	nmod	путь	9	0
1	«Надо	2	ADV	advmod	надо	10	0
2	меньше	0	ADV	ROOT	мало	10	0
3	вмешиваться	2	VERB	xcomp	вмешиваться	10	0
4	в	6	ADP	case	в	10	0
5	социальные	6	ADJ	amod	социальный	10	0
6	системы	3	NOUN	nmod	система	10	0
7	и	6	CONJ	cc	и	10	0
8	культуру	6	NOUN	conj	культура	10	0
9	отдельных	10	ADJ	amod	отдельный	10	0
10	стран	6	NOUN	nmod	страна	10	0
11	и	2	CONJ	cc	и	10	0
12	больше	13	ADV	advmod	больше	10	0
13	уважать	2	VERB	conj	уважать	10	1
