word_id	word	parent_id	tag	dependency	lemmatized	sentence_id	pol
1	Почему	4	SCONJ	mark	почему	1	0
2	Германия	4	PROPN	nsubj	германия	1	0
3	постоянно	4	ADV	advmod	постоянно	1	0
4	хочет	0	VERB	ROOT	хотеть	1	0
5	вернуть	4	VERB	xcomp	вернуть	1	0
6	Россию	5	PROPN	dobj	россия	1	0
7	в	8	ADP	case	в	1	0
8	G7:	5	NUM	nmod	G7	1	0
9	в	10	ADP	case	в	1	0
10	надежде	5	NOUN	nmod	надежда	1	1
11	содействовать	10	VERB	acl	содействовать	1	0
12	потеплению	11	NOUN	dobj	потепление	1	1
13	российско-европейских	14	ADJ	amod	российско	1	0
14	отношений	12	NOUN	nmod	отношение	1	0
1	inosmi.ruПосмотреть	0	VERB	ROOT	inosmi	2	0
2	оригиналапрель	1	NOUN	nsubj	оригиналапрель	2	0
3	14-го,	4	NUM	nummod	14	2	0
4	2016	2	NUM	nummod	2016	2	0
1	Встреча	5	NOUN	nsubj	встреча	3	0
2	глав	1	NOUN	appos	глава	3	0
3	МИД	2	PROPN	appos	мид	3	0
4	G7	3	NUM	nummod	G7	3	0
5	закончилась.	0	VERB	ROOT	заканчиваться	3	0
1	Япония	3	PROPN	nsubj	япония	4	0
2	основательно	3	ADV	advmod	основательно	4	0
3	подготовила	0	VERB	ROOT	подготовить	4	0
4	трагическое	5	ADJ	amod	трагический	4	0
5	«пиар-шоу»	3	NOUN	dobj	пиар	4	0
6	из	7	ADP	case	из	4	0
7	Хиросимы	5	PROPN	nmod	хиросима	4	0
8	и	3	CONJ	cc	и	4	0
9	привлекла	3	VERB	conj	привлекать	4	0
10	к	11	ADP	case	к	4	0
11	ней	9	PRON	nmod	она	4	0
12	внимание	9	NOUN	nsubj	внимание	4	1
13	мировой	14	ADJ	amod	мировой	4	0
14	общественности.	12	NOUN	nmod	общественность	4	0
1	На	2	ADP	case	на	5	0
2	фоне	5	NOUN	nmod	фон	5	0
3	этого	2	DET	nmod	это	5	0
4	неуслышанным	3	ADJ	acl:relcl	неуслышанный	5	0
5	остался	0	VERB	ROOT	оставаться	5	0
6	призыв	5	NOUN	nsubj	призыв	5	0
7	Германии	6	PROPN	nmod	германия	5	0
8	решить,	6	VERB	acl	решать	5	0
9	каким	10	ADJ	amod	какой	5	0
10	образом	11	NOUN	advmod	образ	5	0
11	вернуть	8	VERB	xcomp	вернуть	5	0
12	Россию	11	PROPN	dobj	россия	5	0
13	в	14	ADP	case	в	5	0
14	G8.	8	NUM	nmod	G8	5	0
1	Данная	2	ADJ	amod	данный	6	0
2	позиция	6	NOUN	nsubj	позиция	6	0
3	Германии	2	PROPN	nmod	германия	6	0
4	—	2	PUNCT	punct	"—
"	6	0
5	не	6	PART	neg	не	6	0
6	единовременный	0	ADJ	ROOT	единовременный	6	0
7	порыв.	6	PUNCT	punct	порыв	6	0
1	С	3	ADP	case	с	7	0
2	тех	3	DET	det	тот	7	0
3	пор	10	NOUN	nmod	пора	7	0
4	как	7	ADP	case	как	7	0
5	в	7	ADP	case	в	7	0
6	2014	7	ADJ	amod	2014	7	0
7	году	10	NOUN	nmod	год	7	0
8	Россия	10	PROPN	nsubjpass	россия	7	0
9	была	10	VERB	auxpass	быть	7	0
10	исключена	0	VERB	ROOT	исключать	7	0
11	из	13	ADP	case	из	7	0
12	«Большой	13	ADJ	amod	большой	7	0
13	восьмерки»	10	NOUN	nmod	восьмерка	7	0
14	по	15	ADP	case	по	7	0
15	причине	10	NOUN	nmod	причина	7	0
16	разразившегося	15	VERB	acl	разражаться	7	0
17	на	18	ADP	case	на	7	0
18	Украине	16	PROPN	nmod	украина	7	0
19	кризиса,	18	NOUN	nmod	кризис	7	0
20	Германия	19	PROPN	appos	германия	7	0
21	два	22	NUM	nummod	два	7	0
22	года	20	NOUN	nmod	год	7	0
23	подряд	25	ADP	case	подряд	7	0
24	на	25	ADP	case	на	7	0
25	саммите	27	NOUN	nmod	саммит	7	0
26	G7	25	NUM	nummod	G7	7	0
27	настаивает	10	VERB	parataxis	настаивать	7	0
28	на	29	ADP	case	на	7	0
29	возвращении	27	NOUN	nmod	возвращение	7	0
30	России	29	PROPN	nmod	россия	7	0
31	и	29	CONJ	cc	и	7	0
32	возобновлении	29	NOUN	conj	возобновление	7	0
33	формата	32	NOUN	nmod	формат	7	0
34	G8.	33	NUM	nummod	G8	7	0
1	Сначала,	16	ADV	advmod	сначала	8	0
2	для	3	ADP	case	для	8	0
3	того	16	DET	nmod	то	8	0
4	чтобы	5	SCONJ	mark	чтобы	8	0
5	оказать	16	VERB	advcl	оказывать	8	0
6	давление	5	NOUN	dobj	давление	8	0
7	на	8	ADP	case	на	8	0
8	Россию	6	PROPN	nmod	россия	8	0
9	по	12	ADP	case	по	8	0
10	украинскому	11	ADJ	amod	украинский	8	0
11	вопросу,	12	ADP	case	вопрос	8	0
12	партнеры	5	NOUN	nmod	партнер	8	0
13	по	14	ADP	case	по	8	0
14	G7	16	X	nmod	G7	8	0
15	экстренно	16	ADV	advmod	экстренно	8	0
16	провели	0	VERB	ROOT	проводить	8	0
17	в	18	ADP	case	в	8	0
18	Гааге	16	PROPN	nmod	гаага	8	0
19	небольшое	16	ADJ	dobj	небольшой	8	0
20	совещание,	23	ADV	advmod	совещание	8	0
21	где	23	SCONJ	mark	где	8	0
22	первоначально	23	ADV	advmod	первоначально	8	0
23	договорились	19	VERB	acl:relcl	договариваться	8	0
24	не	25	PART	neg	не	8	0
25	участвовать	23	VERB	xcomp	участвовать	8	0
26	в	32	ADP	case	в	8	0
27	запланированном	32	VERB	acl	запланировать	8	0
28	на	29	ADP	case	на	8	0
29	июнь	27	PROPN	nmod	июнь	8	0
30	2014	31	ADJ	amod	2014	8	0
31	года	29	NOUN	nmod	год	8	0
32	саммите	25	NOUN	nmod	саммит	8	0
33	G8	25	NUM	nsubj	G8	8	0
34	в	36	ADP	case	в	8	0
35	российском	36	ADJ	amod	российский	8	0
36	городе	25	NOUN	nmod	город	8	0
37	Сочи.	36	PROPN	appos	сочи	8	0
1	В	2	ADP	case	в	9	0
2	ситуации,	14	NOUN	nmod	ситуация	9	0
3	когда	9	SCONJ	mark	когда	9	0
4	ни	5	PART	neg	ни	9	0
5	одна	9	NUM	nsubj	один	9	0
6	из	7	ADP	case	из	9	0
7	стран	5	NOUN	nmod	страна	9	0
8	не	9	PART	neg	не	9	0
9	явилась	14	VERB	advcl	являться	9	0
10	на	11	ADP	case	на	9	0
11	саммит,	14	ADJ	nmod	саммит	9	0
12	Россия	14	PROPN	nsubjpass	россия	9	0
13	была	14	VERB	auxpass	быть	9	0
14	«изгнана»	0	VERB	ROOT	изгонять	9	0
15	из	16	ADP	case	из	9	0
16	группы.	14	NOUN	nmod	группа	9	0
1	Раз	5	X	nsubjpass	раз	10	0
2	уж	1	X	nmod	уж	10	0
3	Россия	2	PROPN	appos	россия	10	0
4	была	5	VERB	auxpass	быть	10	0
5	«исключена»	0	VERB	ROOT	исключать	10	0
6	из	8	ADP	case	из	10	0
7	этого	8	DET	det	это	10	0
8	клуба,	5	NOUN	nmod	клуб	10	0
9	почему	12	SCONJ	mark	почему	10	0
10	Германия	12	PROPN	nsubj	германия	10	0
11	постоянно	12	ADV	advmod	постоянно	10	0
12	хочет	5	VERB	ccomp	хотеть	10	0
13	вернуть	12	VERB	xcomp	вернуть	10	0
14	ее	13	PRON	dobj	она	10	0
15	обратно?	12	NUM	punct	обратно	10	0
1	Если	2	SCONJ	mark	если	11	0
2	говорить	15	VERB	advcl	говорить	11	0
3	о	4	ADP	case	о	11	0
4	Германии,	15	PROPN	nmod	германия	11	0
5	давление,	15	NOUN	dobj	давление	11	0
6	которое	7	DET	dobj	который	11	0
7	оказывают	15	VERB	xcomp	оказывать	11	0
8	на	9	ADP	case	на	11	0
9	нее	15	PRON	nmod	она	11	0
10	стагнация	15	NOUN	nsubj	стагнация	11	-1
11	экономики	10	NOUN	nmod	экономика	11	0
12	и	10	CONJ	cc	и	11	0
13	кризис	10	NOUN	conj	кризис	11	0
14	беженцев,	15	ADV	advmod	беженец	11	0
15	приводит	0	VERB	ROOT	приводить	11	0
16	к	17	ADP	case	к	11	0
17	тому,	15	DET	nmod	то	11	0
18	что	22	SCONJ	mark	что	11	0
19	она	22	PRON	nsubj	она	11	0
20	всеми	21	DET	det	все	11	0
21	силами	22	NOUN	advmod	сила	11	0
22	стремится	17	VERB	acl:relcl	стремиться	11	0
23	к	24	ADP	case	к	11	0
24	улучшению	22	NOUN	nmod	улучшение	11	1
25	внешней	29	ADJ	amod	внешний	11	0
26	среды,	25	CONJ	cc	среда	11	0
27	особенно	28	ADV	advmod	особенно	11	0
28	—	25	PUNCT	conj	"—
"	11	0
29	отношений	24	NOUN	nmod	отношение	11	0
30	с	31	ADP	case	с	11	0
31	Россией.	29	PROPN	nmod	россия	11	0
1	Из-за	3	ADP	case	из-за	12	0
2	взаимных	3	ADJ	amod	взаимный	12	0
3	санкций	14	NOUN	nmod	санкция	12	0
4	России	3	PROPN	nmod	россия	12	0
5	и	4	CONJ	cc	и	12	0
6	Запада,	4	NOUN	conj	запад	12	0
7	которые	9	DET	nsubjpass	который	12	0
8	были	9	VERB	auxpass	быть	12	0
9	вызваны	3	VERB	acl:relcl	вызывать	12	0
10	украинским	11	ADJ	amod	украинский	12	0
11	кризисом,	9	NOUN	iobj	кризис	12	0
12	две	13	NUM	nummod	два	12	0
13	стороны	11	NOUN	advmod	сторона	12	0
14	несут	0	VERB	ROOT	нести	12	0
15	немалые	16	ADJ	amod	немалый	12	0
16	потери.	14	PUNCT	nsubj	потеря	12	-1
1	В	2	ADP	case	в	13	0
2	связи	7	NOUN	nmod	связь	13	0
3	с	4	ADP	case	с	13	0
4	этим,	2	DET	nmod	это	13	0
5	не	6	PART	neg	не	13	0
6	только	7	ADV	advmod	только	13	0
7	Германия,	0	PROPN	ROOT	германия	13	0
8	но	7	CONJ	cc	но	13	0
9	и	8	CONJ	mwe	и	13	0
10	многие	12	ADJ	amod	многие	13	0
11	европейские	12	ADJ	amod	европейский	13	0
12	государства	13	NOUN	nsubj	государство	13	0
13	проявляют	7	VERB	conj	проявлять	13	0
14	желание	13	NOUN	dobj	желание	13	0
15	смягчить	14	VERB	acl	смягчать	13	0
16	отношения	15	NOUN	dobj	отношение	13	0
17	с	18	ADP	case	с	13	0
18	Россией,	16	PROPN	nmod	россия	13	0
19	а	15	CONJ	cc	а	13	0
20	также	19	CONJ	mwe	также	13	0
21	отменить	15	VERB	conj	отменять	13	0
22	санкции	21	NOUN	dobj	санкция	13	0
23	против	24	ADP	case	против	13	0
24	нее.	21	PRON	nmod	она	13	0
1	Кроме	2	ADP	case	кроме	14	0
2	того,	23	DET	nmod	то	14	0
3	в	4	ADP	case	в	14	0
4	вопросах	2	NOUN	nmod	вопрос	14	0
5	безопасности	4	NOUN	nmod	безопасность	14	1
6	и	5	CONJ	cc	и	14	0
7	борьбы	5	NOUN	conj	борьба	14	0
8	с	9	ADP	case	с	14	0
9	терроризмом,	4	NOUN	nmod	терроризм	14	-1
10	Германия	9	PROPN	appos	германия	14	0
11	и	9	CONJ	cc	и	14	0
12	даже	13	X	discourse	даже	14	0
13	вся	15	DET	nsubj	весь	14	0
14	Европа,	15	PROPN	iobj	европа	14	0
15	нуждаются	9	VERB	conj	нуждаться	14	0
16	в	17	ADP	case	в	14	0
17	России,	15	PROPN	nmod	россия	14	0
18	а	15	CONJ	cc	а	14	0
19	она	23	PRON	nsubj	она	14	0
20	—	23	PUNCT	advmod	"—
"	14	0
21	в	22	ADP	case	в	14	0
22	них,	23	PRON	nmod	они	14	0
23	существует	0	VERB	ROOT	существовать	14	0
24	большое	25	ADJ	amod	большой	14	0
25	пространство	23	NOUN	dobj	пространство	14	0
26	для	27	ADP	case	для	14	0
27	сотрудничества.	23	NOUN	nmod	сотрудничество	14	1
1	Однако,	4	PROPN	nsubj	однако	15	0
2	будучи	4	VERB	cop	быть	15	0
3	«старым»	4	ADJ	amod	старый	15	0
4	союзником	0	NOUN	ROOT	союзник	15	1
5	США,	4	PROPN	nmod	сша	15	0
6	и	4	CONJ	cc	и	15	0
7	находясь	24	VERB	advcl	находиться	15	0
8	в	10	ADP	case	в	15	0
9	чрезмерной	10	ADJ	amod	чрезмерный	15	-1
10	зависимости	7	NOUN	nmod	зависимость	15	0
11	от	12	ADP	case	от	15	0
12	них	10	PRON	nmod	они	15	0
13	в	14	ADP	case	в	15	0
14	вопросе	7	NOUN	nmod	вопрос	15	0
15	обороны,	24	NOUN	nsubjpass	оборона	15	0
16	по	17	ADP	case	по	15	0
17	Украине	15	PROPN	nmod	украина	15	0
18	и	17	CONJ	cc	и	15	0
19	многим	22	ADJ	amod	многие	15	0
20	другим	22	ADJ	amod	другой	15	0
21	региональным	22	ADJ	amod	региональный	15	0
22	вопросам,	17	NOUN	conj	вопрос	15	0
23	Германия	22	PROPN	appos	германия	15	0
24	вынуждена	4	VERB	conj	вынуждать	15	0
25	согласовывать	24	VERB	xcomp	согласовывать	15	0
26	позицию	25	NOUN	dobj	позиция	15	0
27	с	28	ADP	case	с	15	0
28	США,	26	PROPN	nmod	сша	15	0
29	она	31	PRON	nsubj	она	15	0
30	не	31	PART	neg	не	15	0
31	может	24	VERB	conj	может	15	0
32	избавиться	31	VERB	xcomp	избавляться	15	0
33	от	34	ADP	case	от	15	0
34	них	32	PRON	nmod	они	15	0
35	и	32	CONJ	cc	и	15	0
36	наедине	32	VERB	conj	наедине	15	0
37	обсудить	36	VERB	xcomp	обсуждать	15	0
38	вопросы	37	NOUN	dobj	вопрос	15	0
39	об	40	ADP	case	об	15	0
40	улучшении	38	NOUN	nmod	улучшение	15	1
41	отношений	40	NOUN	nmod	отношение	15	0
42	с	43	ADP	case	с	15	0
43	Россией.	41	PROPN	nmod	россия	15	0
1	Поэтому	8	SCONJ	mark	поэтому	16	0
2	только	8	ADV	discourse	только	16	0
3	возвращение	8	NOUN	nsubj	возвращение	16	0
4	России	3	PROPN	nmod	россия	16	0
5	к	6	ADP	case	к	16	0
6	платформе	3	NOUN	nmod	платформа	16	0
7	G7	6	NUM	nmod	G7	16	0
8	может	16	VERB	advcl	может	16	0
9	осуществить	8	VERB	xcomp	осуществлять	16	0
10	потепление	9	NOUN	dobj	потепление	16	1
11	российско-европейских	12	ADJ	amod	российско	16	0
12	отношений,	10	NOUN	nmod	отношение	16	0
13	это	16	DET	nsubj	это	16	0
14	также	16	CONJ	cc:preconj	также	16	0
15	будет	16	VERB	cop	быть	16	0
16	благоприятно	0	ADV	ROOT	благоприятно	16	0
17	для	18	ADP	case	для	16	0
18	согласования	16	NOUN	nmod	согласование	16	0
19	интересов	18	NOUN	nmod	интерес	16	1
20	и	19	CONJ	cc	и	16	0
21	разногласий	19	NOUN	conj	разногласие	16	-1
22	между	23	ADP	case	между	16	0
23	США,	18	PROPN	nmod	сша	16	0
24	Европой	23	PROPN	name	европа	16	0
25	и	23	CONJ	cc	и	16	0
26	Россией	23	PROPN	conj	россия	16	0
27	в	28	ADP	case	в	16	0
28	рамках	16	NOUN	nmod	рамка	16	0
29	механизма.	28	NOUN	nmod	механизм	16	0
1	Вместе	6	ADV	advmod	вместе	17	0
2	с	3	ADP	case	с	17	0
3	тем,	1	NOUN	nmod	то	17	0
4	Германия	6	PROPN	nsubj	германия	17	0
5	отчетливо	6	ADV	advmod	отчетливо	17	0
6	осознает,	0	VERB	ROOT	осознавать	17	1
7	что	18	SCONJ	mark	что	17	0
8	в	10	ADP	case	в	17	0
9	современном	10	ADJ	amod	современный	17	1
10	мире	18	NOUN	nmod	мир	17	0
11	в	12	ADP	case	в	17	0
12	решении	18	NOUN	nmod	решение	17	0
13	многих	15	ADJ	amod	многий	17	0
14	горячих	15	ADJ	amod	горячий	17	0
15	вопросов	12	NOUN	nmod	вопрос	17	0
16	никак	18	ADV	advmod	никак	17	0
17	не	18	PART	neg	не	17	0
18	обойтись	6	VERB	ccomp	обходиться	17	0
19	без	20	ADP	case	без	17	0
20	России.	18	PROPN	nmod	россия	17	0
1	Министр	9	NOUN	nsubj	министр	18	0
2	иностранных	3	ADJ	amod	иностранный	18	0
3	дел	1	NOUN	nmod	дело	18	0
4	Германии	3	PROPN	nmod	германия	18	0
5	Франк-Вальтер	1	PROPN	appos	франк	18	0
6	Штайнмайер	5	PROPN	name	штайнмайер	18	0
7	без	8	ADP	case	без	18	0
8	обиняков	9	NOUN	nmod	обиняков	18	0
9	высказал	0	VERB	ROOT	высказывать	18	0
10	суть	9	NOUN	dobj	суть	18	0
11	проблемы:	10	NOUN	nmod	проблема	18	0
12	«Очевидно,	19	X	dobj	очевидно	18	0
13	что	19	PRON	nsubj	что	18	0
14	ни	15	PART	neg	ни	18	0
15	один	18	NUM	nummod	один	18	0
16	серьезный	18	ADJ	amod	серьезный	18	0
17	международный	18	ADJ	amod	международный	18	0
18	конфликт	19	NOUN	dobj	конфликт	18	-1
19	невозможно	11	VERB	acl:relcl	невозможно	18	0
20	решить	19	VERB	xcomp	решать	18	0
21	без	22	ADP	case	без	18	0
22	участия	20	NOUN	nmod	участие	18	1
23	России,	22	PROPN	nmod	россия	18	0
24	в	26	ADP	case	в	18	0
25	этом	26	DET	det	это	18	0
26	году	30	NOUN	nmod	год	18	0
27	мы	30	PRON	nsubjpass	мы	18	0
28	(G7)	27	NUM	nummod	G7	18	0
29	будем	27	PART	cc	быть	18	0
30	наблюдать,	20	VERB	conj	наблюдать	18	0
31	всегда	34	ADV	advmod	всегда	18	0
32	ли	31	PART	discourse	ли	18	0
33	Россия	34	PROPN	nsubj	россия	18	0
34	исполняет	30	VERB	nsubjpass	исполнять	18	0
35	такую	37	ADJ	amod	такой	18	0
36	конструктивную	37	ADJ	amod	конструктивный	18	1
37	роль,	34	NOUN	dobj	роль	18	0
38	а	30	CONJ	cc	а	18	0
39	затем	40	ADV	advmod	затем	18	0
40	обсудим,	41	ADJ	amod	обсуждать	18	0
41	когда	45	SCONJ	mark	когда	18	0
42	и	41	CONJ	cc	и	18	0
43	как	44	ADP	case	как	18	0
44	она	45	PRON	nsubj	она	18	0
45	вернется	30	VERB	advcl	вернуться	18	0
46	в	47	ADP	case	в	18	0
47	G8».	45	NUM	nmod	G8	18	0
1	Соглашение	41	NOUN	nsubjpass	соглашение	19	0
2	о	3	ADP	case	о	19	0
3	прекращении	41	NOUN	nmod	прекращение	19	0
4	огня	3	NOUN	nmod	огонь	19	0
5	на	7	ADP	case	на	19	0
6	Украине,	7	ADJ	amod	украина	19	0
7	решение	41	NOUN	nmod	решение	19	0
8	иранской	12	ADJ	amod	иранский	19	0
9	ядерной	12	ADJ	amod	ядерный	19	0
10	проблемы,	9	ADP	nmod	проблема	19	0
11	мирные	12	ADJ	amod	мирный	19	1
12	переговоры	41	NOUN	advmod	переговоры	19	0
13	по	14	ADP	case	по	19	0
14	Сирии,	41	PROPN	nmod	сирия	19	0
15	совместная	16	ADJ	amod	совместный	19	0
16	борьба	41	NOUN	nsubjpass	борьба	19	0
17	с	19	ADP	case	с	19	0
18	международным	19	ADJ	amod	международный	19	0
19	терроризмом	16	NOUN	nmod	терроризм	19	-1
20	—	28	PUNCT	punct	"—
"	19	0
21	по	24	ADP	case	по	19	0
22	многим	24	ADJ	amod	многие	19	0
23	горячим	24	ADJ	amod	горячий	19	0
24	конфликтам	20	NOUN	nmod	конфликт	19	-1
25	или	24	CONJ	cc	или	19	0
26	вопросам,	24	NOUN	conj	вопрос	19	0
27	которые	28	DET	nsubj	который	19	0
28	оказывают	19	VERB	acl:relcl	оказывать	19	0
29	глубокое	30	ADJ	amod	глубокий	19	1
30	влияние	28	NOUN	dobj	влияние	19	0
31	на	33	ADP	case	на	19	0
32	международную	33	ADJ	amod	международный	19	0
33	обстановку,	30	NOUN	nmod	обстановка	19	0
34	без	35	ADP	case	без	19	0
35	взаимодействия	33	NOUN	nmod	взаимодействие	19	0
36	с	37	ADP	case	с	19	0
37	Россией	35	PROPN	nmod	россия	19	0
38	не	28	PART	punct	не	19	0
