word_id	word	parent_id	tag	dependency	lemmatized	sentence_id	pol
1	Кто	2	PRON	nsubj	кто	1	0
2	может	0	VERB	ROOT	может	1	0
3	свергнуть	2	VERB	xcomp	свергать	1	-1
4	царя?	3	PUNCT	dobj	царь	1	0
1	inosmi.ruПосмотреть	0	VERB	ROOT	inosmi	2	0
2	оригиналмарт	1	NOUN	nsubj	оригиналмарт	2	0
3	28-го,	2	NUM	nummod	28	2	0
4	2016	3	ADJ	nummod	2016	2	0
1	Пять	2	NUM	nummod	пять	3	0
2	лет	21	NOUN	nmod	год	3	0
3	назад,	21	PUNCT	punct	назад	3	0
4	когда	21	SCONJ	mark	когда	3	0
5	занимавший	7	VERB	acl	занимать	3	0
6	тогда	5	ADV	advmod	тогда	3	0
7	пост	21	NOUN	dobj	пост	3	0
8	премьер-министра	7	NOUN	nmod	премьер-министр	3	0
9	Путин	21	PROPN	nsubj	путин	3	0
10	объявил,	21	NOUN	advmod	объявлять	3	0
11	что	12	SCONJ	mark	что	3	0
12	займет	21	VERB	advcl	занимать	3	0
13	после	14	ADP	case	после	3	0
14	Дмитрия	12	PROPN	nmod	дмитрий	3	0
15	Медведева	14	PROPN	name	медведев	3	0
16	пост	14	NOUN	name	пост	3	0
17	президента	16	NOUN	nmod	президент	3	0
18	России,	17	PROPN	nmod	россия	3	0
19	российские	20	ADJ	amod	российский	3	0
20	интеллектуалы	21	NOUN	nsubj	интеллектуал	3	1
21	впали	0	VERB	ROOT	впадать	3	0
22	в	23	ADP	case	в	3	0
23	отчаяние.	21	NOUN	nmod	отчаяние	3	-1
1	Они	2	PRON	nsubj	они	4	0
2	решили,	0	VERB	ROOT	решать	4	0
3	что	7	SCONJ	mark	что	4	0
4	правление	7	NOUN	nsubj	правление	4	0
5	Путина	4	PROPN	nmod	путин	4	0
6	будет	7	VERB	cop	быть	4	0
7	бесконечным,	29	ADJ	amod	бесконечный	4	0
8	и	7	CONJ	cc	и	4	0
9	в	11	ADP	case	в	4	0
10	2024	11	ADJ	amod	2024	4	0
11	году,	19	NOUN	nmod	год	4	0
12	после	13	ADP	case	после	4	0
13	истечения	11	NOUN	nmod	истечение	4	0
14	четвертого	15	ADJ	amod	четвертый	4	0
15	срока,	13	NOUN	nmod	срок	4	0
16	Владимир	19	PROPN	nsubj	владимир	4	0
17	Владимирович	16	PROPN	name	владимирович	4	0
18	снова	19	ADV	advmod	снова	4	0
19	сделает	7	VERB	conj	сделать	4	0
20	рокировку	19	NOUN	dobj	рокировка	4	0
21	со	24	ADP	case	со	4	0
22	своим	24	PRON	det	свой	4	0
23	младшим	24	ADJ	amod	младший	4	0
24	партнером	20	NOUN	nmod	партнер	4	0
25	и	7	CONJ	cc	и	4	0
26	пересядет	7	VERB	conj	пересаживаться	4	0
27	в	28	ADP	case	в	4	0
28	кресло	26	NOUN	nmod	кресло	4	0
29	премьера.	2	NOUN	dobj	премьера	4	0
1	Но	12	CONJ	cc:preconj	но	5	0
2	когда	7	SCONJ	mark	когда	5	0
3	два	4	NUM	nummod	два	5	0
4	года	7	NOUN	advmod	год	5	0
5	назад	4	ADV	advmod	назад	5	0
6	Путин	7	PROPN	nsubj	путин	5	0
7	аннексировал	12	VERB	advcl	аннексировать	5	0
8	Крым,	11	PROPN	nmod	крым	5	0
9	многие	11	ADJ	amod	многие	5	0
10	российские	11	ADJ	amod	российский	5	0
11	интеллектуалы	12	NOUN	dobj	интеллектуал	5	1
12	поняли,	0	VERB	ROOT	понимать	5	1
13	что	15	SCONJ	mark	что	5	0
14	это	15	DET	nsubj	это	5	0
15	начало	12	NOUN	ccomp	начало	5	0
16	конца	15	NOUN	nmod	конец	5	0
17	его	18	PRON	det	он	5	0
18	правления.	16	ADJ	nmod	правление	5	0
1	То,	0	DET	ROOT	то	6	0
2	что	4	SCONJ	mark	что	6	0
3	большинство	4	NOUN	nsubj	большинство	6	0
4	приняло	1	VERB	acl:relcl	принимать	6	0
5	за	7	ADP	case	за	6	0
6	триумфальный	7	ADJ	amod	триумфальный	6	1
7	танец	4	NOUN	nmod	танец	6	0
8	России	7	PROPN	nmod	россия	6	0
9	на	11	ADP	case	на	6	0
10	международной	11	ADJ	amod	международный	6	0
11	арене,	14	SYM	nmod	арена	6	0
12	либеральное	13	ADJ	amod	либеральный	6	0
13	меньшинство	14	NOUN	nsubj	меньшинство	6	0
14	оценило	7	VERB	acl:relcl	оценивать	6	1
15	как	17	ADP	case	как	6	0
16	предсмертную	17	ADJ	amod	предсмертный	6	-1
17	агонию	14	NOUN	nmod	агония	6	-1
18	режима.	4	ADJ	punct	режим	6	0
1	Мало	3	PROPN	nsubj	мало	7	0
2	кто	1	PRON	name	кто	7	0
3	осмелился	0	VERB	ROOT	осмеливаться	7	0
4	в	6	ADP	case	в	7	0
