word_id	word	parent_id	tag	dependency	lemmatized	sentence_id	pol
1	Глупые	2	ADJ	amod	глупый	1	-1
2	нападки	6	NOUN	nsubj	нападки	1	-1
3	на	4	ADP	case	на	1	0
4	Россию	2	PROPN	nmod	россия	1	0
5	только	6	ADV	advmod	только	1	0
6	помогают	0	VERB	ROOT	помогать	1	1
7	Владимиру	6	PROPN	iobj	владимир	1	0
8	Путину	7	PROPN	name	путин	1	0
1	inosmi.ruПосмотреть	0	VERB	ROOT	inosmi	2	0
2	оригиналиюнь	1	NOUN	nsubj	оригиналиюнь	2	0
3	25-го,	2	NUM	nummod	25	2	0
4	2016	3	NUM	nummod	2016	2	0
1	Ох	0	NOUN	ROOT	ох	3	0
2	уж	4	SCONJ	mark	уж	3	0
3	эти	4	DET	nsubj	этот	3	0
4	русские.	1	VERB	advcl	русский	3	0
1	Они	3	PRON	nsubj	они	4	0
2	то	3	ADV	advmod	то	4	0
3	бьют	6	VERB	det	бить	4	0
4	английских	6	ADJ	amod	английский	4	0
5	футбольных	6	ADJ	amod	футбольный	4	0
6	болельщиков,	8	NOUN	nsubj	болельщик	4	0
7	то	8	ADV	advmod	то	4	0
8	занимаются	0	VERB	ROOT	заниматься	4	0
9	обманом	8	VERB	xcomp	обман	4	-1
10	на	11	ADP	case	на	4	0
11	Олимпиаде.	9	NOUN	nmod	олимпиада	4	0
1	Они	2	PRON	nsubj	они	5	0
2	оккупируют	0	VERB	ROOT	оккупировать	5	-1
3	другие	4	ADJ	amod	другой	5	0
4	страны,	5	NOUN	nsubj	страна	5	0
5	сбивают	2	VERB	parataxis	сбивать	5	0
6	гражданские	7	ADJ	amod	гражданский	5	0
7	авиалайнеры,	10	NOUN	nsubj	авиалайнер	5	0
8	а	7	CONJ	cc	а	5	0
9	потом	10	ADV	advmod	потом	5	0
10	делают	2	VERB	parataxis	делать	5	0
11	вид,	10	DET	dobj	вид	5	0
12	что	11	SCONJ	mwe	что	5	0
13	ни	15	PART	neg	ни	5	0
14	при	15	ADP	case	при	5	0
15	чем.	12	PUNCT	mwe	что	5	0
1	Они	2	PRON	nsubj	они	6	0
2	помогают	0	VERB	ROOT	помогать	6	1
3	Асаду	2	PROPN	iobj	асад	6	0
4	одержать	2	VERB	xcomp	одерживать	6	0
5	верх	4	NOUN	dobj	верх	6	0
6	в	8	ADP	case	в	6	0
7	гражданской	8	ADJ	amod	гражданский	6	0
8	войне.	4	NOUN	nmod	война	6	-1
1	Они	3	PRON	nsubj	они	7	0
2	даже	3	X	discourse	даже	7	0
3	вздувают	0	VERB	ROOT	вздувать	7	0
4	цены	3	NOUN	dobj	цена	7	0
5	на	7	ADP	case	на	7	0
6	лондонскую	7	ADJ	amod	лондонский	7	0
7	недвижимость.	4	NOUN	nmod	недвижимость	7	0
1	По	3	ADP	case	по	8	0
2	всей	3	DET	det	весь	8	0
3	видимости,	4	NOUN	nmod	видимость	8	0
4	нет	0	VERB	ROOT	нет	8	0
5	такой	6	ADJ	amod	такой	8	0
6	подлости	4	NOUN	nmod	подлость	8	-1
7	и	6	CONJ	cc	и	8	0
8	мерзости,	6	ADJ	conj	мерзость	8	-1
9	в	10	ADP	case	в	8	0
10	которой	14	DET	nmod	который	8	0
11	не	14	PART	neg	не	8	0
12	были	14	VERB	cop	быть	8	0
13	бы	14	PART	discourse	бы	8	0
14	повинны	4	ADJ	punct	повинный	8	-1
15	эти	16	DET	det	этот	8	0
16	русские.	14	VERB	cop	русский	8	0
1	«Ну	2	ADP	case	ну	9	0
2	ладно,	4	PUNCT	nmod	ладно	9	0
3	мы	4	PRON	nsubj	мы	9	0
4	занимались	0	VERB	ROOT	заниматься	9	0
5	всеми	6	DET	det	все	9	0
6	этими	7	DET	det	этот	9	0
7	делами,	11	NOUN	nsubj	дело	9	0
8	—	7	PUNCT	nmod	"—
"	9	0
9	немного	10	ADJ	amod	немного	9	0
10	застенчиво	8	NOUN	nmod	застенчиво	9	0
11	признается	4	VERB	parataxis	признаваться	9	0
12	мой	11	PRON	iobj	мой	9	0
13	московский	14	ADJ	amod	московский	9	0
14	друг	11	NOUN	advmod	друг	9	1
15	из	16	ADP	case	из	9	0
16	СМИ.	14	PUNCT	nmod	сми	9	0
1	—	5	PUNCT	nsubj	"—
"	10	0
2	Но	5	CONJ	cc:preconj	но	10	0
3	ведь	5	ADV	advmod	ведь	10	0
4	этим	3	DET	nmod	это	10	0
5	занимаются	0	VERB	ROOT	заниматься	10	0
6	и	5	CONJ	cc	и	10	0
7	все	8	DET	det	все	10	0
8	остальные!	5	ADJ	conj	остальной	10	0
1	А	2	CONJ	cc:preconj	а	11	0
2	наказывают	0	VERB	ROOT	наказывать	11	-1
3	только	4	ADV	discourse	только	11	0
4	нас,	2	DET	nmod	мы	11	0
5	потому	9	SCONJ	mark	потому	11	0
6	что	5	SCONJ	mwe	что	11	0
7	нас	9	PRON	dobj	мы	11	0
8	все	9	DET	discourse	все	11	0
9	ненавидят».	2	VERB	advcl	ненавидеть	11	-1
1	После	2	ADP	case	после	12	0
2	аннексии	10	NOUN	nmod	аннексия	12	0
3	Крыма	2	PROPN	nmod	крым	12	0
4	в	6	ADP	case	в	12	0
5	2014	6	ADJ	amod	2014	12	0
6	году	2	NOUN	nmod	год	12	0
7	русские	10	NOUN	nsubj	русский	12	0
8	официально	10	ADV	advmod	официально	12	0
9	стали	10	VERB	cop	становиться	12	0
10	отверженными	0	VERB	ROOT	отверженный	12	-1
11	в	13	ADP	case	в	12	0
12	наше	13	PRON	det	наш	12	0
13	мире.	10	NOUN	nmod	мир	12	0
1	Российских	2	ADJ	amod	российский	13	0
2	спортсменов	3	NOUN	dobj	спортсмен	13	0
3	отстранили	0	VERB	ROOT	отстранять	13	0
4	от	5	ADP	case	от	13	0
5	участия	3	NOUN	nmod	участие	13	1
6	в	7	ADP	case	в	13	0
7	Олимпиаде	5	NOUN	nmod	олимпиада	13	0
8	за	12	ADP	case	за	13	0
9	допинг;	8	VERB	discourse	допинг	13	-1
10	их	12	PRON	det	они	13	0
11	футбольной	12	ADJ	amod	футбольный	13	0
12	команде	13	NOUN	nmod	команда	13	0
13	пригрозили	3	VERB	parataxis	пригрозить	13	0
