word_id	word	parent_id	tag	dependency	lemmatized	sentence_id	pol
1	Царь	5	NOUN	nsubj	царь	1	0
2	снова	5	ADV	advmod	снова	1	0
3	и	2	CONJ	cc	и	1	0
4	снова	2	ADV	conj	снова	1	0
5	обводит	0	VERB	ROOT	обводить	1	0
6	нас	5	PRON	dobj	мы	1	0
7	вокруг	8	ADP	case	вокруг	1	0
8	пальца	5	NOUN	nmod	палец	1	0
1	inosmi.ruПосмотреть	0	VERB	ROOT	inosmi	2	0
2	оригиналапрель	1	NOUN	nsubj	оригиналапрель	2	0
3	23-го,	4	NUM	nummod	23	2	0
4	2016	2	NUM	nummod	2016	2	0
1	С	2	ADP	case	с	3	0
2	точки	16	NOUN	nmod	точка	3	0
3	зрения	2	NOUN	nmod	зрение	3	0
4	изнеженных	5	ADJ	amod	изнеженный	3	0
5	комментаторов	3	NOUN	nmod	комментатор	3	0
6	на	7	ADP	case	на	3	0
7	Западе,	2	NOUN	nmod	запад	3	0
8	Владимир	7	PROPN	appos	владимир	3	0
9	Путин,	8	PROPN	name	путин	3	0
10	Царь	8	PROPN	name	царь	3	0
11	всея	12	DET	det	весь	3	0
12	России	8	PROPN	nmod	россия	3	0
13	—	2	PUNCT	punct	"—
"	3	0
14	это	16	DET	expl	это	3	0
15	неуклюжий	16	ADJ	amod	неуклюжий	3	-1
16	клоун,	0	CONJ	ROOT	клоун	3	0
17	обреченный	16	VERB	acl	обреченный	3	0
18	на	20	ADP	case	на	3	0
19	неизбежный	20	ADJ	amod	неизбежный	3	-1
20	провал.	17	ADJ	nmod	провал	3	-1
1	Но	8	CONJ	cc:preconj	но	4	0
2	с	4	ADP	case	с	4	0
3	моей	4	PRON	det	мой	4	0
4	точки	8	NOUN	nmod	точка	4	0
5	зрения	4	NOUN	nmod	зрение	4	0
6	—	8	PUNCT	advmod	"—
"	4	0
7	он	8	PRON	nsubj	он	4	0
8	гений.	0	SYM	ROOT	гений	4	1
1	Должен	0	ADJ	ROOT	должный	5	0
2	признаться,	1	VERB	xcomp	признаваться	5	0
3	что	10	SCONJ	mark	что	5	0
4	как	5	ADP	case	как	5	0
5	человек	10	NOUN	nmod	человек	5	0
6	мне	5	PRON	nmod	я	5	0
7	он	10	PRON	nsubj	он	5	0
8	совсем	10	ADV	advmod	совсем	5	0
9	не	10	PART	neg	не	5	0
10	нравится.	2	PUNCT	ccomp	нравиться	5	1
1	Но	3	CONJ	cc:preconj	но	6	0
2	я	3	PRON	nsubj	я	6	0
3	уважаю	0	VERB	ROOT	уважать	6	1
4	его	5	PRON	det	он	6	0
5	способности.	3	NOUN	dobj	способность	6	0
1	Последний	0	ADJ	ROOT	последний	7	0
2	случай,	1	CONJ	cc	случай	7	0
3	когда	6	SCONJ	mark	когда	7	0
4	второстепенное	5	ADJ	amod	второстепенный	7	-1
5	государство	6	NOUN	nsubj	государство	7	0
6	разыгрывало	16	VERB	advcl	разыгрывать	7	0
7	свои	8	PRON	det	свой	7	0
8	карты	6	NOUN	dobj	карта	7	0
9	так	8	CONJ	cc	так	7	0
10	же	9	X	goeswith	же	7	0
11	мастерски,	8	NOUN	conj	мастерски	7	1
12	как	14	ADP	case	как	7	0
13	это	14	DET	nsubj	это	7	0
14	сделал	16	VERB	nmod	сделать	7	0
15	Путин,	16	PROPN	nsubj	путин	7	0
16	произошел	1	VERB	conj	происходить	7	0
17	в	19	ADP	case	в	7	0
18	1203	19	ADJ	amod	1203	7	0
19	году.	16	NOUN	nmod	год	7	0
1	Венеция	2	PROPN	nsubj	венеция	8	0
2	воспользовалась	0	VERB	ROOT	воспользоваться	8	0
3	Четвертым	16	ADJ	amod	четвертый	8	0
4	крестовым	16	ADJ	amod	крестов	8	0
5	походом,	16	SCONJ	mark	поход	8	0
6	чтобы	7	SCONJ	mark	чтобы	8	0
7	ограбить	16	VERB	advcl	ограбить	8	-1
8	христианский	9	ADJ	amod	христианский	8	0
9	Константинополь,	7	PROPN	dobj	константинополь	8	0
10	в	11	ADP	case	в	8	0
11	результате	12	NOUN	nmod	результат	8	0
12	получив	16	VERB	advcl	получать	8	0
13	огромное	14	ADJ	amod	огромный	8	1
14	богатство	12	NOUN	dobj	богатство	8	1
15	и	12	CONJ	cc	и	8	0
16	влияние.	2	VERB	punct	влияние	8	0
1	Она	3	PRON	nsubj	она	9	0
2	также	3	CONJ	cc:preconj	также	9	0
3	разрушила	0	VERB	ROOT	разрушать	9	-1
4	защитную	5	ADJ	amod	защитный	9	0
5	стену,	3	NOUN	dobj	стена	9	0
6	отделявшую	5	NOUN	nmod	отделять	9	0
7	Европу	6	PROPN	appos	европа	9	0
8	от	9	ADP	case	от	9	0
9	ислама,	11	NOUN	nmod	ислам	9	0
10	что	11	DET	nsubj	что	9	0
11	обернулось	16	VERB	nmod	обертываться	9	0
12	семью	16	NOUN	nsubj	семья	9	0
13	веками	16	NOUN	iobj	век	9	0
14	джихада	16	NOUN	nsubj	джихад	9	0
15	(который	16	ADJ	amod	который	9	0
16	продолжается	3	VERB	punct	продолжаться	9	0
17	и	16	CONJ	cc	и	9	0
18	теперь,	16	ADV	advmod	теперь	9	0
19	после	21	ADP	case	после	9	0
20	недолгого	21	ADJ	amod	недолгий	9	0
21	перерыва).	16	NOUN	nmod	перерыв	9	0
1	Игры	5	NOUN	nsubj	игра	10	0
2	Путина	1	PROPN	nmod	путин	10	0
3	тоже	5	X	discourse	тоже	10	0
4	не	5	PART	neg	не	10	0
5	принесут	0	VERB	ROOT	приносить	10	0
6	Европе	5	PROPN	nmod	европа	10	0
7	ничего	8	NOUN	nsubj	ничего	10	0
8	хорошего.	5	PUNCT	punct	хороший	10	1
1	Но,	2	CONJ	nsubj	но	11	0
2	подобно	0	ADJ	ROOT	подобно	11	0
3	средневековой	4	ADJ	amod	средневековый	11	0
4	Венеции,	2	PROPN	nmod	венеция	11	0
5	он	7	PRON	nsubj	он	11	0
6	мастерски	7	ADV	advmod	мастерски	11	1
7	реализует	2	VERB	parataxis	реализовать	11	0
8	свои	9	PRON	det	свой	11	0
9	планы.	7	NOUN	dobj	план	11	0
1	Придя	0	VERB	ROOT	прийти	12	0
2	к	3	ADP	case	к	12	0
3	власти	1	NOUN	nmod	власть	12	0
4	в	27	ADP	case	в	12	0
5	тот	27	DET	det	тот	12	0
6	момент,	27	ADJ	amod	момент	12	0
7	когда	10	SCONJ	mark	когда	12	0
8	Россия	10	PROPN	nsubj	россия	12	0
9	была	10	VERB	cop	быть	12	0
10	слабой	6	ADJ	advcl	слабый	12	0
11	и	10	CONJ	cc	и	12	0
12	совершенно	13	ADV	advmod	совершенно	12	0
13	беспомощной,	14	ADJ	amod	беспомощный	12	-1
14	Путин	15	PROPN	nsubj	путин	12	0
15	сумел	10	VERB	conj	суметь	12	0
16	снова	17	ADV	advmod	снова	12	0
17	внушить	15	VERB	xcomp	внушать	12	0
18	своему	19	PRON	det	свой	12	0
19	народу	17	NOUN	iobj	народ	12	0
20	гордость	19	NOUN	nmod	гордость	12	0
21	за	22	ADP	case	за	12	0
22	страну,	23	NOUN	nmod	страна	12	0
23	восстановив	17	VERB	advcl	восстанавливать	12	0
24	внешние	25	ADJ	amod	внешний	12	0
25	атрибуты	23	NOUN	dobj	атрибут	12	0
26	великой	27	ADJ	amod	великий	12	0
27	державы.	1	PUNCT	nmod	держава	12	0
1	Одно	6	NUM	nsubj	один	13	0
2	из	5	ADP	case	из	13	0
3	его	5	PRON	det	он	13	0
4	ключевых	5	ADJ	amod	ключевой	13	0
5	преимуществ	1	NOUN	nmod	преимущество	13	1
6	заключается	0	VERB	ROOT	заключаться	13	0
7	в	8	ADP	case	в	13	0
8	том,	6	DET	nmod	том	13	0
9	что	13	SCONJ	mark	что	13	0
10	изнеженные	12	ADJ	amod	изнеженный	13	0
11	западные	12	ADJ	amod	западный	13	0
12	комментаторы	13	NOUN	dobj	комментатор	13	0
13	считают	8	VERB	ccomp	считать	13	0
14	его	13	PRON	dobj	он	13	0
15	слабостью:	20	NUM	nummod	слабость	13	0
16	у	17	ADP	case	у	13	0
17	него	15	PRON	nmod	он	13	0
18	неподходящий	20	ADJ	amod	неподходящий	13	-1
19	послужной	20	ADJ	amod	послужной	13	0
20	список.	13	NOUN	nsubj	список	13	0
1	Он	3	PRON	nsubj	он	14	0
2	не	3	PART	neg	не	14	0
3	учился	0	VERB	ROOT	учиться	14	0
4	в	6	ADP	case	в	14	0
5	правильных	6	ADJ	amod	правильный	14	1
6	школах	3	NOUN	nmod	школа	14	0
7	и	3	CONJ	cc	и	14	0
8	ведет	3	VERB	conj	вести	14	0
9	себя	8	PRON	dobj	себя	14	0
10	не	11	PART	neg	не	14	0
11	так,	8	SYM	nmod	так	14	0
12	как	11	ADP	case	как	14	0
13	положено.	11	VERB	acl	положенный	14	0
1	Он	4	PRON	nsubj	он	15	0
2	был	4	VERB	cop	быть	15	0
3	незаметным	4	ADJ	amod	незаметный	15	0
4	подполковником	0	NOUN	ROOT	подполковник	15	0
5	КГБ.	4	PROPN	nmod	кгб	15	0
1	И	3	CONJ	cc:preconj	и	16	0
2	он	3	PRON	nsubj	он	16	0
3	груб.	0	PUNCT	ROOT	грубый	16	-1
1	Поэтому	5	SCONJ	mark	поэтому	17	0
2	наша	1	NOUN	nmod	наш	17	0
3	ханжеская	4	ADJ	amod	ханжеский	17	-1
4	элита	5	NOUN	nsubj	элита	17	1
5	потратила	0	VERB	ROOT	потратить	17	0
6	последние	8	ADJ	amod	последний	17	0
7	15	8	NUM	nummod	15	17	0
8	лет	5	NOUN	dobj	год	17	0
9	на	10	ADP	case	на	17	0
10	высмеивание	5	NOUN	nmod	высмеивание	17	0
11	Путина.	10	PROPN	nmod	путин	17	0
1	А	3	CONJ	cc:preconj	а	18	0
2	он	3	PRON	nsubj	он	18	0
3	потратил	0	VERB	ROOT	потратить	18	0
4	это	5	DET	det	это	18	0
5	время	3	NOUN	dobj	время	18	0
6	на	7	ADP	case	на	18	0
7	то,	3	DET	nmod	то	18	0
8	чтобы	9	SCONJ	mark	чтобы	18	0
9	обогатить	7	VERB	xcomp	обогащать	18	0
10	свою	11	PRON	det	свой	18	0
11	страну,	9	NOUN	dobj	страна	18	0
12	восстановить	9	VERB	xcomp	восстанавливать	18	0
13	ее	12	PRON	dobj	она	18	0
14	вооруженные	15	ADJ	amod	вооруженный	18	0
15	силы,	12	NOUN	dobj	сила	18	0
16	расширить	12	VERB	xcomp	расширять	18	0
17	ее	16	PRON	dobj	она	18	0
18	территорию,	16	VERB	dobj	территория	18	0
19	увеличить	16	VERB	xcomp	увеличивать	18	0
20	ее	19	PRON	dobj	она	18	0
21	влияние	19	NOUN	dobj	влияние	18	0
22	за	23	ADP	case	за	18	0
23	рубежом	21	NOUN	nmod	рубеж	18	0
24	—	19	PUNCT	punct	"—
"	18	0
25	и	19	CONJ	cc	и	18	0
26	унизить	19	VERB	conj	унижать	18	-1
27	Соединенные	28	ADJ	amod	соединять	18	0
28	Штаты	26	NOUN	dobj	штат	18	0
29	Америки.	28	PROPN	appos	америка	18	0
1	Наши	3	NOUN	nsubj	наш	19	0
2	дипломаты	1	NOUN	nmod	дипломат	19	0
3	играют	0	VERB	ROOT	играть	19	0
4	в	6	ADP	case	в	19	0
5	бридж-контракт,	6	ADJ	amod	бридж	19	0
6	лениво	3	NOUN	nmod	лениво	19	0
7	откусывая	8	ADJ	amod	откусывать	19	0
8	кусочки	3	NOUN	nsubj	кусочек	19	0
9	от	11	ADP	case	от	19	0
10	изысканных	11	ADJ	amod	изысканный	19	1
11	сэндвичей.	8	NOUN	nmod	сэндвич	19	0
1	Путин	2	PROPN	nsubj	путин	20	0
2	играет	0	VERB	ROOT	играть	20	0
3	в	5	ADP	case	в	20	0
